colony,night,damage
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,2,1
5,2,1
5,2,1
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
5,2,0
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,2,1
7,2,1
7,2,1
7,2,1
7,2,1
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
7,2,0
15,1,1
15,1,1
15,1,1
15,1,1
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,1
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
15,2,0
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,1
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
19,1,0
